name;lat;lng;capital
Noisiel;48.8547;2.6289;
Lons-le-Saunier;46.6744;5.5539;minor
Montmagny;48.9736;2.3458;
Arnouville-les-Gonesse;48.9872;2.4167;
Octeville;49.6269;-1.6431;
Saint-Leu-la-Foret;49.0169;2.2464;
Jouy-le-Moutier;49.0108;2.0386;
Saint-Jean-de-la-Ruelle;47.9131;1.8733;
Le Vesinet;48.8939;2.1322;
Hendaye;43.3586;-1.7744;
Carrieres-sous-Poissy;48.9478;2.0386;
Marly-le-Roi;48.8669;2.0942;
Lognes;48.8361;2.6278;
Beausoleil;43.7419;7.4236;
Montargis;47.9969;2.7325;minor
Carrieres-sur-Seine;48.9108;2.2889;
Petite-Synthe;51.0231;2.3528;
Bois-d'Arcy;48.8014;2.0317;
Luce;48.4383;1.465;
Enghien-les-Bains;48.9697;2.3081;
Lys-les-Lannoy;50.6714;3.2144;
Valenton;48.745;2.4672;
Saint-Brice-sous-Foret;48.9986;2.3569;
Haubourdin;50.6092;2.9869;
Longwy;49.5197;5.7606;
Wattignies;50.585;3.0431;
Saint-Andre;50.6603;3.0439;
Avon;48.4089;2.725;
Rive-de-Gier;45.5294;4.6169;
Montesson;48.9086;2.1494;
Anzin;50.3714;3.5044;
Ramonville-Saint-Agne;43.5461;1.4756;
Courcouronnes;48.6239;2.4294;
Persan;49.1533;2.2711;
Mouvaux;50.7033;3.1406;
Morangis;48.7064;2.3347;
Auray;47.6678;-2.9825;
Arpajon;48.5903;2.2478;
Fleury-Merogis;48.6294;2.3614;
Montevrain;48.8753;2.7456;
Fontenay-le-Fleury;48.8136;2.0486;
Epinay-sous-Senart;48.6931;2.5158;
Vaires-sur-Marne;48.8742;2.6381;
Billere;43.3025;-0.3972;
Voisins-le-Bretonneux;48.7583;2.0508;
Saint-Max;48.7011;6.2067;
Saint-Andre-les-Vergers;48.2797;4.0539;
Hoenheim;48.6242;7.7547;
Stiring-Wendel;49.2;6.9292;
Ville-d'Avray;48.8261;2.1933;
Talant;47.3364;5.0056;
Deville-les-Rouen;49.4697;1.0497;
Dugny;48.9536;2.4164;
Villecresnes;48.7214;2.5342;
Epinay-sur-Orge;48.6739;2.3272;
Craponne;45.7453;4.7233;
Chanteloup-les-Vignes;48.9783;2.0308;
Ormesson-sur-Marne;48.7858;2.5383;
Beaumont;45.7517;3.0831;
Maromme;49.4819;1.0419;
Montigny-en-Gohelle;50.4278;2.9297;
Jarville-la-Malgrange;48.6694;6.2061;
Crosne;48.7147;2.4611;
Marquette-les-Lille;50.6758;3.0661;
Croissy-sur-Seine;48.8778;2.1422;
Gaillard;46.185;6.2075;
Caudebec-les-Elbeuf;49.2808;1.0211;
Pierre-Benite;45.7036;4.8242;
Tinqueux;49.25;3.9908;
Avranches;48.6844;-1.3569;minor
Igny;48.7422;2.2261;
Fosses;49.0981;2.5067;
Thorigny-sur-Marne;48.8788;2.7075;
Eybens;45.1486;5.7503;
Sallaumines;50.4197;2.8622;
Neuville-les-Dieppe;49.9267;1.1014;
Ferney-Voltaire;46.2558;6.1081;
Bougival;48.865;2.1394;
Bures-sur-Yvette;48.6967;2.1614;
Le Plessis-Bouchard;49.0028;2.2367;
Beauchamp;49.0139;2.19;
Le Portel;50.7067;1.5733;
Vaucresson;48.8425;2.1528;
Groslay;48.9867;2.3444;
Perenchies;50.6681;2.9725;
Aucamville;43.6686;1.4306;
Evian-les-Bains;46.4006;6.59;
Ville-la-Grand;46.2022;6.2469;
Avignon;43.95;4.8075;minor
Dunkerque;51.0383;2.3775;minor
Beziers;43.3476;3.219;minor
Merignac;44.8386;-0.6436;
Saint-Nazaire;47.2736;-2.2139;minor
Colmar;48.0817;7.3556;minor
Pessac;44.8067;-0.6311;
Valence;44.9333;4.8917;minor
Bourges;47.0844;2.3964;minor
Quimper;47.9967;-4.0964;minor
Montauban;44.0181;1.3558;minor
Niort;46.3258;-0.4606;minor
Beauvais;49.4303;2.0952;minor
Frejus;43.433;6.737;
Narbonne;43.1836;3.0042;minor
La Roche-sur-Yon;46.6705;-1.426;minor
Hyeres;43.1199;6.1316;
Vannes;47.6559;-2.7603;minor
Cholet;47.06;-0.8783;minor
Laval;48.0733;-0.7689;minor
Arles;43.6767;4.6278;minor
Albi;43.9289;2.1464;minor
Grasse;43.6667;6.9167;minor
Martigues;43.4053;5.0475;
Saint-Herblain;47.2122;-1.6497;
Saint-Priest;45.6972;4.9447;
Evreux;49.02;1.15;minor
Aubagne;43.2908;5.5708;
Saint-Malo;48.65;-2.01;minor
Charleville-Mezieres;49.7719;4.7161;minor
Brive-la-Gaillarde;45.1583;1.5321;minor
Carcassonne;43.21;2.35;minor
Blois;47.5939;1.3281;minor
Saint-Brieuc;48.5136;-2.7653;minor
Chalons-en-Champagne;48.9575;4.365;minor
Salon-de-Provence;43.6406;5.0972;
Sete;43.4053;3.6975;
Chateauroux;46.8103;1.6911;minor
Istres;43.5151;4.9895;minor
Ales;44.1281;4.0817;minor
Angouleme;45.65;0.16;minor
Bourg-en-Bresse;46.2056;5.2289;minor
Castres;43.6;2.25;minor
Colomiers;43.6139;1.3367;
Saint-Germain-en-Laye;48.8989;2.0938;minor
Thionville;49.3589;6.1692;minor
Compiegne;49.4149;2.8231;minor
Anglet;43.485;-1.5183;
Gap;44.5594;6.0786;minor
Montelimar;44.5581;4.7508;
Draguignan;43.5403;6.4667;minor
Joue-les-Tours;47.3514;0.6625;
Villenave-d'Ornon;44.7806;-0.5658;
La Ciotat;43.1769;5.6086;
Montlucon;46.3408;2.6033;minor
Saint-Raphael;43.4252;6.7684;
Meyzieu;45.7667;5.0036;
Six-Fours-les-Plages;43.1009;5.82;
Haguenau;48.82;7.79;minor
Saint-Chamond;45.4775;4.5153;
Auxerre;47.7986;3.5672;minor
Nevers;46.9933;3.1572;minor
Macon;46.3063;4.8313;minor
Cambrai;50.1767;3.2356;minor
Vitrolles;43.46;5.2486;
Marignane;43.416;5.2145;
